main_id,common,Vmag,Gmag,plx,plx_err,ly_nom,ly_lb,Con,RA,Dec,spec,lum,var,Gaia DR3
* mu. Cep,TIC 260614141,4.080,2.451,0.11902,0.26369,27403,8522,Cep,325.87694,58.78003,M2-Ia,Ia,N/A,2202630001603369856
V* V810 Cen,TIC 322418709,5.030,4.792,0.15369,0.09270,21222,13238,Cen,175.87991,-62.48939,G0_0-IaFe1,Ia,N/A,5333358794709001216
HD 152234,TIC 339565401,5.450,5.424,0.15988,0.34058,20399,6517,Sco,253.50765,-41.80640,B0.5Ia,Ia,N/A,5966510057279631488
* phi Cas,TIC 332680754,4.980,4.736,0.21417,0.08385,15229,10944,Cas,20.02047,58.23161,F0Ia,Ia,N/A,413828761929696256
* x Car,TIC 306916925,3.830,3.557,0.22276,0.10044,14642,10092,Car,167.14740,-58.97503,G5_0-Ia,Ia,N/A,5337891256535666176
V* V509 Cas,TIC 313555973,5.130,4.999,0.25073,0.06327,13008,10387,Cas,345.02123,56.94537,G4_0,N/A,N/A,2009856132592845568
HD 135345,TIC 307739457,5.171,5.064,0.29684,0.44906,10988,4373,Lup,229.01671,-41.49118,A/F,N/A,N/A,6004302402223120512
* omi01 Cen,TIC 451860101,5.097,4.724,0.32537,0.07341,10024,8179,Cen,172.94191,-59.44205,G3_0-Ia,Ia,N/A,5336490478704008960
HD  70761,IDS 08186-2602 AB,5.883,5.789,0.35960,0.05370,9070,7892,Pup,125.70805,-26.34820,F2Iab,Ia,N/A,5695101727992548224
HD 102878,TIC 303884894,5.702,5.591,0.36989,0.03657,8818,8024,Cen,177.61359,-62.64938,A2Iab,Ia,N/A,5334608080460780672
HD  12953,TIC 374968886,5.680,5.477,0.38407,0.04746,8492,7558,Per,32.16907,58.42360,A1Ia,Ia,N/A,506778691804372736
* z02 Car,LLNS  4103,5.190,5.038,0.38506,0.07002,8470,7167,Car,167.14160,-61.94717,B9.5Ia,Ia,N/A,5337105105696383360
*   3 Gem,GEN# +1.00042087,5.750,5.736,0.38778,0.06161,8411,7258,Gem,92.43327,23.11345,B2.5Ib,Ib,N/A,3425306173127304448
HD 199478,TIC 468549377,5.640,5.532,0.39151,0.04014,8331,7556,Cyg,313.95750,47.41764,B7Ia,Ia,N/A,2166846047768767488
* y Car,TIC 467274664,4.620,4.431,0.39320,0.08828,8295,6774,Car,168.15000,-60.31762,A5Iae:,Ia,N/A,5337672556798367360
*   6 Cas A,ADS 17022 A,5.590,5.293,0.42644,0.06598,7648,6624,Cas,357.20901,62.21451,A3Ia,Ia,N/A,2012942564813958656
* b Vel,TIC 141901042,3.810,3.554,0.43116,0.10079,7565,6131,Vel,130.15651,-46.64872,F0Ia,Ia,V*,5521599549054493696
* psi01 Aur,TIC 258622975,4.750,4.122,0.44257,0.11030,7370,5899,Aur,96.22459,49.28788,K5-M1Iab-Ib,Ia,N/A,970675154497903616
HD 111904,LLNS  9341,5.770,5.635,0.44359,0.03096,7353,6873,Cru,193.34119,-60.32849,B9Iab,Ia,V*,6056408567538569088
